tourney_id,match_num,winner_id,loser_id,score,minutes,winner_seed,loser_seed
2000-301,28,102796,101820,6-2 6-2,65,2,8
2000-308,28,102644,101962,2-6 6-2 7-6(6),108,7,2
2000-308,29,103163,102358,7-6(5) 1-6 6-4,75,3,1
2000-308,31,102644,103163,6-4 6-4,113,7,3
2000-311,42,103498,102257,6-7(2) 7-6(5) 6-4,89,7,9
2000-311,50,103720,101611,6-4 6-4,113,6,4
2000-311,55,103720,101948,6-4 6-4,137,6,2
2000-314,25,102374,102701,6-7(6) 6-1 6-3,70,1,7
2000-314,30,103264,102610,6-4 6-3,50,8,4
2000-314,31,102374,103264,6-1 6-3,120,1,8
2000-315,27,101727,102834,7-6(5) 7-6(3),78,5,3
2000-316,27,103714,101543,6-1 6-2,86,3,6
2000-316,31,102796,103714,6-1 7-6(6),84,1,3
2000-317,26,101320,103454,6-3 3-6 6-1,85,4,6
2000-319,34,101532,102610,4-6 6-3 6-2,46,10,7
2000-319,41,101532,102338,6-3 6-2,94,10,1
2000-319,44,102374,103151,6-3 6-0,54,2,9
2000-327,29,102374,102701,7-6(6) 6-3,70,1,3
2000-328,30,102358,102450,6-1 6-3,127,2,4
2000-329,42,103103,102344,6-4 6-4,102,7,9
2000-329,43,102839,102035,4-6 7-5 7-6(4),75,4,13
2000-329,49,103103,102856,6-7(6) 6-2 3-0 RET,79,7,1
2000-329,50,102839,101647,6-2 6-2,46,4,6
2000-329,51,102854,102882,6-2 6-3,79,12,3
2000-329,53,102839,103103,6-3 6-4,91,4,7
2000-329,54,102854,102271,4-6 6-3 7-6(7),48,12,8
2000-329,55,102854,102839,6-4 3-6 6-1,83,12,4
2000-336,25,102158,102856,7-6(4) 6-4,74,7,1
2000-336,27,103017,102839,6-2 6-4,38,3,5
2000-336,28,102450,102021,6-4 4-6 6-4,102,2,8
2000-336,29,102882,102158,7-6(2) 6-4,86,4,7
2000-336,30,103017,102450,6-4 6-2,56,3,2
2000-336,31,103017,102882,7-6(4) 2-6 6-2,72,3,4
2000-339,25,102358,103206,7-6(1) 7-5,178,1,7
2000-339,28,102765,102450,6-3 6-1,42,8,2
2000-339,29,102358,102796,3-6 6-2 6-2,104,1,3
2000-339,30,103720,102765,3-6 6-1 6-4,19,6,8
2000-339,31,103720,102358,3-6 6-3 6-2,29,6,1
2000-352,33,102856,102158,6-4 7-6(4),180,1,15
2000-352,35,102882,102338,6-4 6-2,113,13,4
