player_id,name_first,name_last,dob
100001,Gardnar,Mulloy,1913-11-22
100002,Pancho,Segura,1921-06-20
100003,Frank,Sedgman,1927-10-02
100004,Giuseppe,Merlo,1927-10-11
100005,Richard,Gonzalez,1928-05-09
100006,Grant,Golden,1929-08-21
100007,Abe,Segal,1930-10-23
100008,Kurt,Nielsen,1930-11-19
100009,Istvan,Gulyas,1931-10-14
100010,Luis,Ayala,1932-09-18
100011,Torben,Ulrich,1932-10-04
100012,Nicola,Pietrangeli,1933-09-11
100013,Neale,Fraser,1933-10-03
100014,Trevor,Fancutt,1934-07-14
100015,Sammy,Giammalva,1934-08-01
100016,Ken,Rosewall,1934-11-02
100017,Mal,Anderson,1935-03-03
100018,Barry,Mackay,1935-08-31
100019,Wieslaw,Gasiorek,1936-01-13
100020,Alejandro,Olmedo,1936-03-24
100021,Ashley,Cooper,1936-09-15
100022,Roy,Emerson,1936-11-03
100023,Ramanathan,Krishnan,1937-04-11
100024,Jan Eric,Lundquist,1937-04-14
100025,Barry,Phillips Moore,1937-07-09
100026,Andres,Gimeno,1937-08-03
100027,Gene,Scott,1937-12-28
100028,Manuel,Santana,1938-05-10
100029,Rod,Laver,1938-08-09
100030,Fred,Stolle,1938-10-08
100031,Dimitri,Sturdza,1938-11-10
100032,Patricio,Rodriguez Chi,1938-12-20
100033,Wilhelm,Bungert,1939-04-01
100034,Christian,Kuhnke,1939-04-13
100035,Ion,Tiriac,1939-05-09
100036,Rudy,Hernando,1939-06-10
100037,Nikola,Pilic,1939-08-27
100038,Jaime,Pinto Bravo,1939-10-09
100039,Boro,Jovanovic,1939-10-21
100040,Bob,Hewitt,1940-01-12
100041,Ned,Neely,1940-01-14
100042,Ryoichi,Mori,1940-01-14
100043,Zdenek,Slizek,1940-02-19
100044,Sergei,Likhachev,1940-03-20
100045,John,Paish,1940-03-23
100046,Larry,Nagler,1940-07-01
100047,Bob,Carmichael,1940-07-04
100048,Earl Butch,Buchholz,1940-09-16
100049,Jim,Mcmanus,1940-09-16
100050,Martin,Mulligan,1940-10-18
100051,Premjit,Lall,1940-10-20
100052,Keishiro,Yanagi,1941-02-24
100053,Colin,Stubs,1941-02-27
100054,Jose,Mandarino,1941-03-26
