player_id,name_first,name_last,dob
100001,Gardnar,Mulloy,22-11-13
100002,Pancho,Segura,20-06-21
100003,Frank,Sedgman,02-10-27
100004,Giuseppe,Merlo,11-10-27
100005,Richard,Gonzalez,09-05-28
100006,Grant,Golden,21-08-29
100007,Abe,Segal,23-10-30
100008,Kurt,Nielsen,19-11-30
100009,Istvan,Gulyas,14-10-31
100010,Luis,Ayala,18-09-32
100011,Torben,Ulrich,04-10-32
100012,Nicola,Pietrangeli,11-09-33
100013,Neale,Fraser,03-10-33
100014,Trevor,Fancutt,14-07-34
100015,Sammy,Giammalva,01-08-34
100016,Ken,Rosewall,02-11-34
100017,Mal,Anderson,03-03-35
100018,Barry,Mackay,31-08-35
100019,Wieslaw,Gasiorek,13-01-36
100020,Alejandro,Olmedo,24-03-36
100021,Ashley,Cooper,15-09-36
100022,Roy,Emerson,03-11-36
100023,Ramanathan,Krishnan,11-04-37
100024,Jan Eric,Lundquist,14-04-37
100025,Barry,Phillips Moore,09-07-37
100026,Andres,Gimeno,03-08-37
100027,Gene,Scott,28-12-37
100028,Manuel,Santana,10-05-38
100029,Rod,Laver,09-08-38
100030,Fred,Stolle,08-10-38
100031,Dimitri,Sturdza,10-11-38
100032,Patricio,Rodriguez Chi,20-12-38
100033,Wilhelm,Bungert,01-04-39
100034,Christian,Kuhnke,13-04-39
100035,Ion,Tiriac,09-05-39
100036,Rudy,Hernando,10-06-39
100037,Nikola,Pilic,27-08-39
100038,Jaime,Pinto Bravo,09-10-39
100039,Boro,Jovanovic,21-10-39
100040,Bob,Hewitt,12-01-40
100041,Ned,Neely,14-01-40
100042,Ryoichi,Mori,14-01-40
100043,Zdenek,Slizek,19-02-40
100044,Sergei,Likhachev,20-03-40
100045,John,Paish,23-03-40
100046,Larry,Nagler,01-07-40
100047,Bob,Carmichael,04-07-40
100048,Earl Butch,Buchholz,16-09-40
100049,Jim,Mcmanus,16-09-40
100050,Martin,Mulligan,18-10-40
100051,Premjit,Lall,20-10-40
100052,Keishiro,Yanagi,24-02-41
100053,Colin,Stubs,27-02-41
100054,Jose,Mandarino,26-03-41
100055,Cliff,Drysdale,26-05-41
100056,Harald,Elschenbroich,19-06-41
100057,Pierre,Barthes,13-09-41
100058,Roger,Taylor,14-10-41
100059,Isao,Watanabe,23-11-41
100060,Marty,Riessen,04-12-41
100061,Tom,Edlefsen,12-12-41
100062,Francois,Jauffret,09-02-42
100063,William,Higgins,02-04-42
100064,Juan,Gisbert,05-04-42
100065,Terry,Ryan,27-04-42
100066,Frank,Froehling,19-05-42
100067,Frew,Mcmillan,20-05-42
100068,Herb,Fitzgibbon,14-07-42
100069,Dennis,Ralston,27-07-42
100070,Jan,Kukal,13-09-42
100071,Jean Claude,Barclay,30-12-42
100072,Bailey,Brown,15-06-43
100073,Mark,Cox,05-07-43
100074,Arthur,Ashe,10-07-43
100075,Owen,Davidson,04-10-43
100076,Milan,Holecek,23-10-43
100077,Daniel,Contet,03-11-43
100078,Clark,Graebner,04-11-43
100079,Bill,Bowrey,25-12-43
100080,Szabolcz,Baranyi,31-01-44
100081,Charlie,Pasarell,12-02-44
100082,Roger,Dowdeswell,16-02-44
100083,Nicola,Spear,22-02-44
100084,Tom,Okker,22-02-44
100085,Hans Joachim,Ploetz,26-02-44
100086,Frantisek,Pala,28-03-44
100087,John,Newcombe,23-05-44
100088,Patricio,Cornejo,06-06-44
100089,Patrice,Beust,03-09-44
100090,Dick,Crealy,18-09-44
100091,Colin,Dibley,19-09-44
100092,Alex,Metreveli,02-11-44
100093,William,Brown,14-01-45
100094,Jim,Osborne,01-02-45
100095,Tony,Bardsley,09-02-45
100096,Peter,Burwash,10-02-45
100097,Nicholas,Kalogeropoulos,18-02-45
100098,Ove Nils,Bengtson,05-04-45
100099,Thomaz,Koch,11-05-45
100100,Tony,Roche,17-05-45
100101,Mike,Belkin,29-06-45
100102,Joaquin Loyo,Mayo,16-08-45
100103,Peter,Curtis,29-08-45
100104,D Richard,Russell,08-09-45
100105,Allan,Stone,14-10-45
100106,Graham,Stilwell,15-11-45
100107,Robert,Rheinberger,18-11-45
100108,Chris,Bovett,25-12-45
100109,Jun,Kuki,28-12-45
100110,Terry,Addison,11-01-46
100111,Ray,Keldie,17-01-46
100112,John,Clifton,19-02-46
100113,Jan,Kodes,01-03-46
100114,Ray,Ruffels,23-03-46
100115,Jaime,Fillol,03-06-46
100116,Sherwood,Stewart,06-06-46
100117,Butch,Seewagen,13-06-46
100118,Ivan,Molina,16-06-46
100119,Ilie,Nastase,19-07-46
100120,Robert,Maud,12-08-46
100121,Raymond,Moore,24-08-46
100122,Julian,Ganzabal,25-08-46
100123,Patrick,Hombergen,08-09-46
100124,Steve,Turner,17-10-46
100125,John,Cooper,04-11-46
100126,Stan,Smith,14-12-46
100127,Tom,Gorman,19-12-46
100128,Cliff,Richey,31-12-46
100129,Jean Baptiste,Chanfreau,17-01-47
100130,Vladimir,Zednik,01-02-47
100131,Guillermo,Oropez,07-02-47
100132,Armistead,Neely,19-03-47
100133,Pat,Cramer,21-03-47
100134,Roy,Barth,30-03-47
100135,Onny,Parun,15-04-47
100136,Humphrey,Hose,04-05-47
100137,Hans Jurgen,Pohmann,23-05-47
100138,Dan,Bleckinger,27-05-47
100139,Gerald,Battrick,27-05-47
100140,Steve,Faulk,01-06-47
100141,Zeljko,Franulovic,13-06-47
100142,Peter,Szoke,08-08-47
100143,Peter,Fishbach,29-08-47
100144,Robert,Lutz,29-08-47
100145,Dick,Dell,29-09-47
100146,Jun,Kamiwazumi,01-10-47
100147,Marcello,Lara,05-10-47
100148,Ismail,El Shafei,15-11-47
100149,Toshiro,Sakai,23-11-47
100150,Lito,Alvarez,05-12-47
100151,Karl,Coombes,17-12-47
100152,David,Lloyd,03-01-48
100153,Patrice,Hagelauer,05-01-48
100154,Peter,Kanderal,16-01-48
100155,Ramiro,Benavides,30-01-48
100156,Jasjit,Singh,04-02-48
100157,Stanley,Pasarell,11-02-48
100158,John,Bartlett,17-03-48
100159,Vladimir,Korotkov,23-04-48
100160,Georges,Goven,26-04-48
100161,Jurgen,Fassbender,28-05-48
100162,Brian,Fairlie,13-06-48
100163,Tom,Leonard,15-07-48
100164,Bill,Lofgren,31-07-48
100165,Steve,Siegel,04-09-48
100166,Gene Stuart,Malin,01-10-48
100167,Sever,Muresan,23-10-48
100168,Kenneth,McMillan,25-11-48
100169,Ian,Fletcher,01-12-48
100170,Bernard,Mignot,03-12-48
100171,John,Yuill,12-12-48
