tourney_id,tourney_name,surface,tourney_level,tourney_date
2000-301,Auckland,Hard,A,2000-01-10
2000-306,St. Poelten,Clay,A,2000-05-22
2000-308,Munich,Clay,A,2000-05-01
2000-311,Queen's Club,Grass,A,2000-06-12
2000-314,Gstaad,Clay,A,2000-07-10
2000-315,Newport,Grass,A,2000-07-10
2000-316,Bastad,Clay,A,2000-07-10
2000-317,Amsterdam,Clay,A,2000-07-17
2000-319,Kitzbuhel,Clay,A,2000-07-24
2000-321,Stuttgart Outdoor,Clay,A,2000-07-17
2000-325,Palermo,Clay,A,2000-09-25
2000-327,Toulouse,Hard,A,2000-10-16
2000-328,Basel,Carpet,A,2000-10-23
2000-329,Tokyo,Hard,A,2000-10-09
2000-336,Hong Kong,Hard,A,2000-10-02
2000-337,Vienna,Hard,A,2000-10-09
2000-338,Sydney,Hard,A,2000-01-10
2000-339,Adelaide,Hard,A,2000-01-03
2000-352,Paris Masters,Carpet,M,2000-11-13
2000-357,Stuttgart Masters,Hard,M,2000-10-30
2000-359,Bogota,Clay,A,2000-03-06
2000-360,Casablanca,Clay,A,2000-04-10
2000-375,Lyon,Carpet,A,2000-11-06
2000-402,Memphis,Hard,A,2000-02-14
2000-403,Miami Masters,Hard,M,2000-03-20
2000-404,Indian Wells Masters,Hard,M,2000-03-13
2000-407,Rotterdam,Hard,A,2000-02-14
2000-408,London,Hard,A,2000-02-21
2000-409,Atlanta,Clay,A,2000-04-10
2000-410,Monte Carlo Masters,Clay,M,2000-04-17
2000-414,Hamburg Masters,Clay,M,2000-05-15
2000-416,Rome Masters,Clay,M,2000-05-08
2000-418,Washington,Hard,A,2000-08-14
2000-419,Indianapolis,Hard,A,2000-08-14
2000-421,Canada Masters,Hard,M,2000-07-31
2000-422,Cincinnati Masters,Hard,M,2000-08-07
2000-423,Los Angeles,Hard,A,2000-07-24
2000-424,San Jose,Hard,A,2000-02-07
2000-425,Barcelona,Clay,A,2000-04-24
2000-429,Stockholm,Hard,A,2000-11-20
2000-433,Scottsdale,Hard,A,2000-03-06
2000-438,Moscow,Carpet,A,2000-10-23
2000-439,Umag,Clay,A,2000-07-17
2000-440,s Hertogenbosch,Grass,A,2000-06-19
2000-441,Long Island,Hard,A,2000-08-21
2000-451,Doha,Hard,A,2000-01-03
2000-468,Estoril,Clay,A,2000-04-10
2000-475,San Marino,Clay,A,2000-07-24
2000-481,Copenhagen,Hard,A,2000-02-28
2000-495,Dubai,Hard,A,2000-02-07
2000-496,Marseille,Hard,A,2000-02-07
2000-499,Delray Beach,Hard,A,2000-02-28
2000-500,Halle,Grass,A,2000-06-12
2000-505,Santiago,Clay,A,2000-02-28
2000-520,Roland Garros,Clay,G,2000-05-29
2000-540,Wimbledon,Grass,G,2000-06-26
2000-560,US Open,Hard,G,2000-08-28
2000-568,St. Petersburg,Hard,A,2000-11-06
2000-573,Mallorca,Clay,A,2000-05-01
