tourney_id,tourney_name,surface,tourney_level,tourney_date
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-339,Brisbane,Hard,A,20120101
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-891,Chennai,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-451,Doha,Hard,A,20120102
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-301,Auckland,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-338,Sydney,Hard,A,20120109
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-580,Australian Open,Hard,G,20120116
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
2012-375,Montpellier,Hard,A,20120130
